
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,05,06,07,08,07,06,06,06,06,10
Asian American,01,01,02,04,04,03,02,04,05,05
Hispanic American,02,01,03,02,01,00,01,00,00,02
Multi-Racial American,00,00,00,00,01,01,01,00,00,01
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,02,04,06,06,04,03,01,01,02,03
Unknown,12,07,00,00,00,00,00,00,00,01
White American,100,109,112,115,114,119,119,130,137,143
