
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,86,81,80,74,76,81,84,87,106,109
Asian American,178,194,188,213,232,239,257,286,305,324
Hispanic American,41,40,43,48,48,57,76,87,80,76
Multi-Racial American,00,06,08,11,15,17,19,18,24,25
Native American or Alaskan,03,06,06,05,04,04,03,04,05,02
Native Hawaiian or Pacific Islander,01,01,00,00,00,01,01,01,01,01
Non-Resident Alien,81,77,70,73,79,89,103,114,128,148
Unknown,39,11,08,00,00,00,00,01,00,07
White American,2009,1995,2015,1996,2012,2085,2131,2156,2189,2193
