
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,08,09,08,13,13,22,30,32,38,43
Asian American,05,10,09,08,12,15,23,20,27,21
Hispanic American,03,07,08,23,15,16,15,17,31,38
Multi-Racial American,00,00,02,07,15,19,19,22,21,29
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,03,01,00,03,03,00,01,04,04,05
Unknown,01,02,13,21,12,09,14,13,12,15
White American,63,68,98,164,174,206,208,228,282,289
