
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,29,27,27,27,27,25,30,31,37,38
Asian American,50,51,50,51,55,60,63,71,72,74
Hispanic American,15,15,15,19,19,18,26,29,24,23
Multi-Racial American,00,05,07,08,07,07,07,09,13,12
Native American or Alaskan,01,01,02,02,01,01,01,02,02,01
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,37,36,32,34,37,44,53,59,64,64
Unknown,03,00,00,00,00,00,00,00,00,01
White American,627,601,594,579,581,622,633,627,639,642
