
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,16,16,21,13,12,09,07,08,13,19
Asian American,44,39,39,35,34,35,44,46,54,50
Hispanic American,11,09,08,05,11,14,13,20,27,33
Multi-Racial American,02,05,05,04,05,06,07,08,12,16
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,261,237,241,253,257,269,310,411,505,542
Unknown,19,17,19,20,21,13,12,11,10,09
White American,298,295,288,276,255,244,237,242,283,295
