
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,02,04,05,06,08,06,08,03,03,03
Asian American,02,02,03,02,05,05,03,05,08,05
Hispanic American,01,02,04,06,06,02,04,05,06,09
Multi-Racial American,00,00,00,01,04,02,06,08,03,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,01,00,01,06,07,08,04,07,08,12
Unknown,03,01,06,06,05,06,03,02,03,04
White American,21,17,31,33,45,59,76,70,74,76
