
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,43,42,43,38,35,37,38,47,60,43
Asian American,18,14,23,34,27,34,38,29,30,30
Hispanic American,15,20,17,31,20,26,21,34,31,34
Multi-Racial American,01,04,08,09,11,17,21,23,25,31
Native American or Alaskan,02,03,00,00,00,01,01,00,00,00
Native Hawaiian or Pacific Islander,00,01,00,03,00,00,00,02,01,01
Non-Resident Alien,26,28,29,25,22,29,33,26,28,25
Unknown,58,50,27,29,23,20,16,16,20,08
White American,634,596,575,602,554,543,529,540,510,486
