
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,04,04,04,04,05,05,04,06,06,06
Asian American,01,01,01,01,01,02,02,01,01,01
Hispanic American,00,00,00,00,00,00,00,01,02,02
Multi-Racial American,00,00,00,00,00,01,01,00,00,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,01,00,00,00,01,01,01
Unknown,00,00,00,00,00,00,00,00,00,00
White American,49,49,44,41,44,53,59,60,61,57
