
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,06,06,06,06,06,06,05,05,04,06
Asian American,03,03,03,03,03,04,04,04,04,04
Hispanic American,01,01,00,00,00,00,00,00,00,00
Multi-Racial American,00,00,00,00,00,00,00,00,00,00
Native American or Alaskan,01,01,01,01,01,01,01,01,01,01
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,00,00,00,01,01,01,01
Unknown,02,02,00,00,00,00,00,00,00,00
White American,86,86,89,86,87,89,88,93,98,98
