
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,01,02,01,01,01,01,01,02,02,03
Asian American,02,02,02,02,02,02,02,02,04,04
Hispanic American,00,00,00,00,00,00,00,00,00,00
Multi-Racial American,00,00,00,00,00,00,00,00,00,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,00,00,00,00,00,00,00
Unknown,00,00,01,00,00,00,00,00,00,00
White American,25,23,17,21,25,29,25,27,25,23
