
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,38,34,31,21,13,13,13,11,10,16
Asian American,21,28,23,21,19,17,20,24,33,29
Hispanic American,17,22,21,28,26,31,23,18,28,28
Multi-Racial American,00,05,13,14,17,15,10,12,12,21
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,01,01,00,00,00,00,00,00,00,01
Non-Resident Alien,21,30,32,35,32,32,31,30,28,26
Unknown,28,31,25,16,15,17,19,17,14,10
White American,208,203,173,188,187,183,184,173,184,181
