
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,02,05,02,05,01,00,02,01,00,02
Asian American,00,03,01,02,05,04,04,04,02,00
Hispanic American,00,02,00,01,02,00,02,01,00,01
Multi-Racial American,00,03,01,01,00,01,02,01,00,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,02,01,04,02,00,02,02,00,01,01
Unknown,21,22,07,08,03,03,00,02,00,01
White American,43,43,38,46,25,45,27,25,26,13
