
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,00,00,00,02,09,10,10,09,11,09
Asian American,00,00,00,07,16,15,12,12,13,09
Hispanic American,00,00,00,04,06,05,06,09,11,12
Multi-Racial American,00,00,00,01,03,03,04,08,10,07
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,05,03,02,04,02,03,05
Unknown,00,00,00,04,04,02,04,05,03,05
White American,00,00,00,22,60,94,104,114,130,114
