
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,06,08,06,01,07,12,05,05,05,03
Asian American,06,08,02,04,02,04,06,10,07,09
Hispanic American,03,10,07,04,05,08,04,05,04,09
Multi-Racial American,00,00,01,00,00,02,03,06,08,06
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,13,16,21,24,28,35,35,83,106,128
Unknown,19,14,08,09,08,12,09,07,02,00
White American,119,131,135,119,104,108,109,108,104,100
