
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,05,05,05,04,04,05,05,05,06,06
Asian American,01,02,03,03,04,04,04,05,05,05
Hispanic American,00,00,00,01,01,01,01,01,01,01
Multi-Racial American,00,00,00,00,01,01,01,01,01,01
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,03,04,04,04,02,02,01,01,01,02
Unknown,10,11,02,00,00,00,00,00,00,00
White American,69,70,78,76,76,76,79,80,76,72
