
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,02,02,02,02,02,02,04,04,04,04
Asian American,03,03,04,04,06,06,06,07,07,07
Hispanic American,01,01,01,01,01,01,01,01,01,01
Multi-Racial American,00,00,00,00,01,01,01,01,01,01
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,00,00,01,02,02,03,03
Unknown,00,00,01,00,00,00,00,00,00,00
White American,61,59,57,58,59,61,61,60,65,64
