
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,785,791,784,775,763,743,726,758,758,795
Asian American,233,234,238,266,268,263,277,285,285,305
Hispanic American,55,62,69,75,85,94,104,113,113,138
Multi-Racial American,00,21,23,35,43,50,58,73,77,80
Native American or Alaskan,08,06,06,07,09,06,05,10,13,09
Native Hawaiian or Pacific Islander,03,01,00,00,00,00,01,05,06,08
Non-Resident Alien,262,269,261,231,192,207,213,238,285,354
Unknown,102,96,33,00,00,00,00,04,09,19
White American,4679,4680,4755,4729,4724,4734,4666,4912,5050,5308
