
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,00,00,01,01,04,04,04,04,03,03
Asian American,00,00,00,00,00,00,00,00,00,00
Hispanic American,00,00,00,00,00,00,01,01,02,02
Multi-Racial American,00,00,00,00,00,00,00,01,00,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,00,00,00,00,01,01,03
Unknown,00,00,00,00,00,00,00,00,00,00
White American,04,07,10,13,14,13,17,16,27,27
