
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,272,307,311,274,260,259,271,306,346,308
Asian American,392,430,447,454,435,411,415,425,448,438
Hispanic American,214,253,246,248,248,256,272,294,312,345
Multi-Racial American,06,63,96,115,126,146,175,188,204,205
Native American or Alaskan,21,17,09,08,09,06,09,07,04,04
Native Hawaiian or Pacific Islander,02,03,01,04,02,02,05,07,04,04
Non-Resident Alien,992,958,1003,988,1025,1102,1159,1336,1491,1534
Unknown,730,574,472,464,404,388,306,248,211,152
White American,3969,3999,3930,3899,3831,3825,3704,3689,3751,3756
