
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,28,27,20,17,23,25,19,16,25,33
Asian American,78,94,90,91,85,80,76,96,120,107
Hispanic American,29,30,27,31,39,36,36,43,49,49
Multi-Racial American,00,01,11,25,31,33,25,20,27,30
Native American or Alaskan,00,00,00,00,00,00,00,00,01,01
Native Hawaiian or Pacific Islander,01,01,00,00,00,00,00,00,00,00
Non-Resident Alien,119,122,134,128,123,117,109,82,72,81
Unknown,46,54,55,48,27,26,43,38,35,43
White American,377,357,362,363,369,383,385,404,384,378
