
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,22,23,18,14,16,18,20,25,23,20
Asian American,23,15,12,17,13,11,14,16,14,14
Hispanic American,05,05,07,07,07,11,09,09,14,16
Multi-Racial American,00,02,00,01,01,01,01,03,04,06
Native American or Alaskan,01,00,00,00,00,00,00,01,01,01
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,01
Non-Resident Alien,43,39,40,33,34,37,33,35,46,56
Unknown,01,02,02,00,00,00,00,00,01,02
White American,336,330,321,316,309,289,291,305,296,314
