
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,32,35,18,11,08,09,09,08,04,03
Asian American,14,23,12,08,04,07,09,10,08,05
Hispanic American,11,17,09,08,08,10,10,13,07,03
Multi-Racial American,02,07,03,06,06,08,08,05,01,05
Native American or Alaskan,01,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,01,02,00,00,00,01,00,00,00,00
Non-Resident Alien,05,05,09,02,02,03,03,03,02,02
Unknown,27,30,23,14,19,16,11,10,11,04
White American,257,287,231,198,210,202,171,198,118,100
