
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,07,07,07,09,10,09,10,08,09,08
Asian American,03,06,06,07,06,06,06,07,09,11
Hispanic American,02,01,02,02,01,01,01,01,01,01
Multi-Racial American,00,00,00,00,01,01,01,02,03,03
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,01,01,02,01,01,03,02,05,06,05
Unknown,01,01,00,00,00,00,00,00,01,01
White American,145,144,145,144,149,151,158,160,165,169
