
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,04,04,04,04,03,03,03,02,02,02
Asian American,06,05,04,04,04,04,04,04,05,06
Hispanic American,01,02,01,01,01,02,03,03,03,03
Multi-Racial American,00,00,00,00,00,00,00,00,00,00
Native American or Alaskan,00,01,01,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,01,01,01,01
Non-Resident Alien,02,03,02,02,02,01,03,03,05,07
Unknown,03,00,00,00,00,00,00,00,00,00
White American,54,55,60,60,60,59,56,56,56,57
