
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,17,27,27,18,16,15,18,24,26,22
Asian American,19,20,13,12,18,18,15,17,27,28
Hispanic American,14,09,12,10,14,15,14,18,17,20
Multi-Racial American,01,03,03,03,04,07,08,09,07,10
Native American or Alaskan,00,00,00,01,01,01,01,01,01,01
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,68,48,50,42,31,26,27,27,59,54
Unknown,40,30,22,21,20,21,19,16,10,07
White American,168,186,179,173,162,172,177,167,179,177
