
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,53,68,77,70,61,54,47,43,49,53
Asian American,81,102,116,111,88,74,67,68,60,63
Hispanic American,44,58,53,40,42,35,42,36,45,48
Multi-Racial American,01,17,29,34,33,32,38,41,45,38
Native American or Alaskan,11,09,05,01,01,01,01,00,00,01
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,01,01,01
Non-Resident Alien,64,45,54,61,85,78,82,69,65,52
Unknown,262,144,108,91,81,70,61,49,36,35
White American,658,694,693,720,734,723,666,651,681,689
