
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,00,00,00,00,00,01,01,01,01,01
Asian American,00,00,00,01,01,01,02,02,04,04
Hispanic American,00,00,00,00,00,00,00,01,01,01
Multi-Racial American,00,00,00,00,00,00,00,00,00,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,00,00,00,00,00,00,00
Unknown,00,00,00,00,00,00,00,00,00,01
White American,00,06,11,12,13,15,19,21,20,20
