
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,15,14,14,12,13,12,10,11,11,17
Asian American,14,14,14,11,15,14,18,18,20,21
Hispanic American,02,03,03,03,04,05,04,04,05,06
Multi-Racial American,00,00,00,01,02,04,02,05,06,03
Native American or Alaskan,00,00,00,00,01,01,00,00,00,01
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,34,34,35,37,36,37,42,38,45,44
Unknown,09,09,01,00,00,00,00,01,00,00
White American,135,132,144,140,148,149,156,180,182,192
