
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,04,03,03,00,00,00,00,01,01,01
Asian American,02,02,02,03,03,04,04,04,05,05
Hispanic American,00,00,00,00,00,02,02,02,02,01
Multi-Racial American,00,00,00,00,00,00,00,00,01,01
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,02,02,04,09,09,08,09,09,08,08
Unknown,00,00,00,00,00,00,00,00,00,00
White American,34,38,35,38,39,42,40,39,41,43
