
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,30,27,31,23,27,35,32,33,33,32
Asian American,06,14,15,15,11,10,11,16,15,14
Hispanic American,05,07,10,13,11,12,14,15,17,20
Multi-Racial American,00,02,04,06,05,10,09,11,12,14
Native American or Alaskan,01,01,01,00,00,00,01,02,02,01
Native Hawaiian or Pacific Islander,00,00,00,00,00,01,02,01,01,00
Non-Resident Alien,03,06,11,09,04,06,07,06,09,09
Unknown,12,14,18,13,05,05,10,10,09,03
White American,242,261,261,262,287,294,274,247,264,295
