
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,26,24,28,22,27,25,22,27,26,35
Asian American,39,46,47,47,48,52,39,34,41,42
Hispanic American,22,28,28,20,26,34,36,33,37,54
Multi-Racial American,00,09,15,21,18,22,23,22,31,35
Native American or Alaskan,02,00,00,00,00,00,01,01,01,01
Native Hawaiian or Pacific Islander,02,02,00,00,00,00,00,00,00,00
Non-Resident Alien,324,343,346,324,330,347,343,372,387,395
Unknown,237,197,159,131,110,83,64,50,39,37
White American,823,862,827,805,797,732,713,687,681,662
