
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,06,05,05,05,05,05,05,05,05,05
Asian American,11,14,14,14,16,15,17,21,21,24
Hispanic American,04,04,04,04,04,04,03,06,05,06
Multi-Racial American,00,00,00,01,02,03,03,03,03,03
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,02,00,00,02,04,08,13,14,17,24
Unknown,11,00,00,00,00,00,00,00,00,02
White American,147,152,154,152,155,150,154,158,162,167
