
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,23,23,20,17,18,23,20,18,27,30
Asian American,101,112,106,126,136,136,148,161,173,187
Hispanic American,17,15,19,19,18,24,32,36,32,30
Multi-Racial American,00,01,01,02,03,03,05,04,05,07
Native American or Alaskan,02,04,03,03,03,03,02,02,03,01
Native Hawaiian or Pacific Islander,01,01,00,00,00,01,00,00,00,00
Non-Resident Alien,35,32,28,21,25,25,22,24,28,37
Unknown,04,00,04,00,00,00,00,01,00,00
White American,842,835,853,846,857,869,897,906,916,918
