
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,06,04,05,05,05,06,05,07,07,07
Asian American,01,02,02,02,03,01,00,01,00,00
Hispanic American,00,00,00,00,00,00,01,00,00,01
Multi-Racial American,00,00,01,00,00,00,00,00,00,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,00,00,00,00,00,00,02
Unknown,00,00,00,00,00,00,00,00,00,00
White American,29,29,26,27,31,34,33,36,35,38
