
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,01,01,00,00,00,00,02,00,03,01
Asian American,02,02,00,02,00,04,00,00,01,01
Hispanic American,00,00,00,01,01,00,00,03,08,04
Multi-Racial American,00,00,00,00,01,01,02,02,01,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,01,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,01,00,00,01,00,00,00
Unknown,04,02,18,02,02,03,01,02,01,00
White American,12,18,10,22,26,15,21,26,21,18
