
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,36,37,29,30,26,31,34,46,56,43
Asian American,53,52,48,48,51,49,47,62,67,50
Hispanic American,33,33,33,45,40,39,46,43,48,43
Multi-Racial American,00,05,13,13,12,12,13,16,19,22
Native American or Alaskan,02,02,00,03,03,01,03,02,00,00
Native Hawaiian or Pacific Islander,00,00,01,01,00,00,01,01,00,00
Non-Resident Alien,186,195,201,180,201,217,230,239,212,187
Unknown,37,53,58,82,77,29,26,19,14,18
White American,443,416,425,414,420,474,457,478,512,490
