
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,126,121,126,101,108,100,93,104,119,125
Asian American,336,369,390,416,407,433,437,478,516,577
Hispanic American,84,94,120,123,132,146,142,149,164,167
Multi-Racial American,19,39,60,96,115,138,138,143,144,150
Native American or Alaskan,04,03,03,04,03,03,04,02,02,02
Native Hawaiian or Pacific Islander,07,04,01,01,00,00,00,01,01,01
Non-Resident Alien,107,118,124,111,121,112,109,103,84,101
Unknown,168,163,147,132,136,135,170,201,208,214
White American,1404,1387,1428,1473,1567,1602,1569,1514,1519,1471
