
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,08,07,09,10,11,11,10,11,13,13
Asian American,02,03,03,05,05,05,05,07,08,07
Hispanic American,02,02,02,03,03,03,06,05,06,06
Multi-Racial American,00,00,00,00,00,00,00,00,00,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,00,00,00,00,00,00,00
Unknown,07,00,01,00,00,00,00,00,00,03
White American,79,81,85,97,95,101,97,109,116,118
