
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,02,02,02,01,01,01,02,03,04,03
Asian American,01,02,03,02,02,03,04,05,05,05
Hispanic American,00,01,01,02,03,03,02,02,02,00
Multi-Racial American,00,00,00,00,00,00,00,00,00,00
Native American or Alaskan,00,00,00,00,00,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,00,00,00,00,00,00
Non-Resident Alien,00,00,00,00,00,00,00,00,00,00
Unknown,00,01,00,00,00,00,00,00,00,01
White American,39,49,51,50,46,49,58,57,63,70
