
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,129,124,125,125,124,119,128,128,136,142
Asian American,98,102,104,118,125,112,121,125,121,121
Hispanic American,14,15,15,17,24,27,35,36,36,46
Multi-Racial American,00,06,07,10,11,12,17,17,17,21
Native American or Alaskan,01,02,01,01,02,01,01,03,04,02
Native Hawaiian or Pacific Islander,02,01,00,00,00,00,00,01,01,01
Non-Resident Alien,164,170,162,144,108,117,121,140,159,202
Unknown,15,25,20,00,00,00,00,00,01,04
White American,1088,1076,1096,1064,1051,1031,1003,1048,1099,1120
