
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,30,34,33,29,22,26,26,32,33,38
Asian American,30,28,25,23,19,29,34,33,27,32
Hispanic American,08,13,22,28,32,33,27,28,32,23
Multi-Racial American,02,04,09,12,12,14,14,22,21,18
Native American or Alaskan,01,00,01,01,01,01,00,00,00,00
Native Hawaiian or Pacific Islander,03,02,02,00,00,00,00,00,00,00
Non-Resident Alien,05,06,03,08,09,09,04,03,05,03
Unknown,24,20,22,18,16,14,18,20,15,15
White American,244,246,243,248,285,288,284,270,252,241
