
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,09,11,03,08,11,11,14,14,18,06
Asian American,29,26,29,27,23,20,27,23,19,18
Hispanic American,14,15,10,08,11,15,07,15,13,09
Multi-Racial American,00,08,03,05,05,04,08,06,13,03
Native American or Alaskan,02,00,00,00,01,00,00,00,00,00
Native Hawaiian or Pacific Islander,00,00,00,00,01,00,00,00,00,00
Non-Resident Alien,36,27,29,45,40,35,38,67,73,76
Unknown,14,12,06,12,08,11,12,01,03,05
White American,153,159,156,136,135,149,126,173,157,137
