
 ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
African American,1199,1158,1045,946,917,927,951,1017,1049,1085
Asian American,1599,1737,1788,1766,1818,1889,1962,2067,2247,2365
Hispanic American,657,691,755,811,843,918,932,991,1049,1042
Multi-Racial American,115,273,437,588,636,702,709,698,695,749
Native American or Alaskan,26,23,21,22,18,16,17,16,15,19
Native Hawaiian or Pacific Islander,47,25,12,05,03,05,04,07,09,14
Non-Resident Alien,833,864,936,919,902,838,802,770,729,771
Unknown,1151,1062,905,762,733,716,873,916,952,970
White American,8670,8612,8692,8822,9028,9394,9419,9409,9289,9224
